MSMEG_0001	L	L	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog
MSMEG_0002	G	G	COG1023	6-phosphogluconate dehydrogenase (decarboxylating)
MSMEG_0003	L	L	COG1195	Recombinational DNA repair ATPase RecF
MSMEG_0004	R	R	COG5512	Predicted  nucleic acid-binding protein, contains Zn-ribbon domain (includes truncated derivatives)
MSMEG_0005	L	L	COG0187	DNA gyrase/topoisomerase IV, subunit B
MSMEG_0006	L	L	COG0188	DNA gyrase/topoisomerase IV, subunit A
MSMEG_0011	P	P	COG2375	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains
MSMEG_0012	P	P	COG0609	ABC-type Fe3+-siderophore transport system, permease component
MSMEG_0014c	J	J	COG0223	Methionyl-tRNA formyltransferase
MSMEG_0015	P	PH	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component
MSMEG_0016	Q	Q	COG3251	MbtH family protein, regulates adenylation domains of NRPSs
MSMEG_0017	V	V	COG1132	ABC-type multidrug transport system, ATPase and permease component
MSMEG_0018	V	V	COG1132	ABC-type multidrug transport system, ATPase and permease component
MSMEG_0019	I	I	COG0236	Acyl carrier protein
MSMEG_0019	Q	Q	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase
MSMEG_0019	Q	Q	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase
MSMEG_0019	Q	Q	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase
MSMEG_0019	Q	Q	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase
MSMEG_0019	Q	Q	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase
MSMEG_0019	Q	Q	COG1020	EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase
MSMEG_0019	Q	Q	COG3319	Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase
MSMEG_0020c	P	P	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component
MSMEG_0021	H	H	COG0853	Aspartate 1-decarboxylase
MSMEG_0022	Q	Q	COG3486	Lysine/ornithine N-monooxygenase
MSMEG_0024	O	O	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family
MSMEG_0027	S	S	COG3879	Uncharacterized conserved protein YlxW, UPF0749 family
MSMEG_0028c	M	M	COG2815	PASTA domain, binds beta-lactams
MSMEG_0028c	T	T	COG0515	Serine/threonine protein kinase
MSMEG_0029	E	EH	COG0512	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase)
MSMEG_0030c	T	T	COG0515	Serine/threonine protein kinase
MSMEG_0031c	D	DM	COG0768	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)
MSMEG_0032c	D	D	COG0772	Peptodoglycan polymerase FtsW/RodA/SpoVE
MSMEG_0033c	T	T	COG0631	Serine/threonine protein phosphatase PrpC
MSMEG_0034c	T	T	COG1716	Forkhead associated (FHA) domain, binds pSer, pThr, pTyr
MSMEG_0035c	T	T	COG1716	Forkhead associated (FHA) domain, binds pSer, pThr, pTyr
MSMEG_0042	K	K	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA
MSMEG_0043c	Q	Q	COG3384	Aromatic ring-opening dioxygenase, catalytic subunit, LigB family
MSMEG_0048	S	S	COG3871	General stress protein 26 (function unknown)
